구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7668150,6835874,832275,0,2831973,1831973,1000000,4836177,500,204080,0,0,15777087,4436894,11340193,6145610,5194582,4961206,3941831,2120387,-576982,1341376,0,0,0,32.92,24.98,0,0,0,93.37,373.14,58.56,0,71.88,0,0,0,0,0,19315,23697,0,0,0,0,0,0.00,0.00
2016,13957756,11799610,2158146,0,5422654,2033569,3389085,8535102,500,6000000,0,0,24246628,7054403,17192225,12640491,4551734,4559084,3713118,336231,-1333139,3048709,0,0,0,18.77,15.31,53.68,-12.38,-5.80,30.47,580.24,63.53,0,70.91,2.24,68.08,55.54,42.10,34.34,588,1423,0,0,0,0,80.38,0.00,0.00
2017,18038706,15175879,2862827,0,5401544,1436569,3964975,12637162,500,6000000,0,0,35286005,10425920,24860084,19198682,5661402,4918370,3995097,4025663,-854609,-1124980,0,0,0,16.04,11.32,45.53,24.38,7.59,30.80,1056.40,42.74,0,70.45,2.21,53.48,37.74,35.39,24.97,666,2106,0,0,0,0,63.12,0.00,0.00
2018,41379987,34794424,6585564,0,2924498,2924498,0,38455490,500,7761300,0,0,50068540,18662001,31406538,24732468,6674070,5631593,4393257,1891738,-13463472,16125619,0,0,0,13.33,8.77,41.89,17.89,9.97,64.94,1189.76,7.60,0,62.73,1.69,26.13,17.20,22.46,14.79,575,4955,17.36,2.01,1.52,15.55,44.04,11.61,10.78
