구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,227785922,119905342,107880580,0,195282919,121426148,73856771,32503003,5000,3000000,0,0,108373097,62607305,45765792,29936873,15828919,2911679,1070969,-566217,-16831789,21262169,0,0,0,0.99,3.65,71.81,57.82,0.92,98.75,600.82,0,42.23,0.50,49.23,3.33,7.36,0.50,357,10834,10.00,0.33,0.10,1.31,4.38,7.73,5.34
1996,202595826,80357919,122237907,0,170798019,116843375,53954644,31797807,5000,3000000,0,0,104552515,68818447,35734068,26520981,9213087,1017754,678596,-3181281,-48410240,51263414,0,0,0,0.65,13.95,21.23,117.29,0.71,68.77,537.14,0,34.18,0.60,32.55,2.40,5.30,0.39,247,10599,35.15,0.82,0.23,3.18,5.07,15.59,8.96
1995,145087056,62427341,82659715,0,120278945,79549536,40729409,24808111,5000,2000000,0,0,91749563,60804012,30945551,23345812,7599739,554016,312306,-389889,-17080038,17656430,0,0,0,0.34,11.99,136.53,56.88,0.70,78.48,484.84,0,33.73,0.68,30.57,1.26,5.60,0.23,156,12404,46.75,0.59,0.16,1.67,4.34,13.73,6.50
1994,126169291,52343414,73825877,0,101255993,74868353,26387640,24913298,5000,2000000,0,0,81924776,59873774,22051002,18838006,3212996,541284,199073,3509194,-20148085,16938053,0,0,0,0.24,10.97,-57.35,-88.44,0.37,69.91,406.43,0,26.92,0.69,14.31,0.89,2.71,0.17,109,12457,127.99,1.12,0.31,2.98,1.43,31.02,8.63
