구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2018,18517589,9076191,9441398,0,9118165,9118165,0,9399425,500,1609978,0,0,-2317675,-134249,-5306718,0,0,0,-14.60,-12.24,적지,적전,0,99.54,97.01,0,6.26,0.93,-21.86,-20.21,-14.71,-13.60,-2066,12119,0,2.14,1.83,0,-55.41,0,0,21161918,19836201,1325717,4668879,-3343162,-3077917,-3090286
2017,26923175,19011750,7911425,0,5736340,5616340,120000,21186835,500,1345951,0,0,2392799,-992183,0,0,0,0,0.05,-15.73,적전,-98.91,0,338.51,27.08,0,18.66,0.92,-2.35,0.06,-1.90,0.05,9,16578,5348.22,3.05,2.82,278.05,2.38,0,0,24112320,19614072,4498248,4992391,-494143,-31231,12709
2016,25215364,17796257,7419106,0,4347340,4196291,151048,20868024,500,1345951,0,0,-5053863,4656642,-94714,0,0,0,4.08,287.17,흑전,323.90,105.29,424.09,20.83,0,18.16,1.31,4.95,6.04,4.37,5.34,911,16341,16.14,0.90,0.66,14.42,10.29,20.67,18.04,28614455,23418903,5195552,4238437,957115,1585808,1167810
2015,18554572,15266857,3287715,0,725427,621187,104240,17829145,500,1117640,0,0,173245,7997172,-343260,0,0,0,3.73,-13.34,적지,-17.69,0,2457.69,4.07,0,26.36,0.39,-0.67,1.55,-0.63,1.46,247,15952,0,0,0,0,-1.85,0,0,7390747,5442736,1948011,2066548,-118537,269518,275493
2014,19114325,11766006,7348319,0,1438824,1071585,367239,17675501,500,1117640,0,0,-271254,-314156,-232622,0,0,0,3.92,-33.25,적전,-79.18,0,1098.00,8.14,0,22.60,0.44,-1.07,1.91,-0.97,1.73,299,15815,0,0,0,0,-2.32,0,0,8528816,6601163,1927653,2114456,-186803,339082,334718
2013,19484954,11913787,7571167,0,2086266,1449701,636565,17398688,500,1117640,0,0,1541500,-1334498,12059,0,55882,0,12.58,6.94,5.54,-1.25,83.64,821.81,11.99,0,28.40,0.69,8.46,9.68,7.57,8.66,1438,15567,0,0,0,0,17.64,0.00,0.00,12776474,9147947,3628528,2223571,1404957,1875444,1607547
2012,17639378,11204675,6434703,0,1817003,1275552,541451,15822375,500,1117640,0,0,1693401,-1673042,-160000,0,27941,0,13.63,13.58,83.57,65.56,57.92,878.42,11.48,0,28.36,0.71,8.90,10.88,7.89,9.64,1457,14157,0,0,0,0,14.23,0.00,0.00,11947023,8559147,3387876,2056621,1331255,1901875,1627904
2011,16118470,11995720,4122750,0,2015111,1422349,592762,14103359,500,1117640,0,0,1171544,-2341416,-187941,0,0,0,9.35,7.07,715.43,177.97,24.75,843.37,14.29,0,24.72,0.68,5.31,7.20,4.67,6.33,880,12619,0,0,0,0,10.34,0.00,0.00,10518636,7918384,2600252,1875064,725188,1050053,983301
2010,14963549,10161712,4801837,0,1760933,1006421,754512,13202616,500,1117640,0,0,542292,-809400,-36645,0,27941,0,3.60,12.33,607.33,-12.40,2.78,1009.69,13.34,0,20.01,0.66,0.68,2.72,0.60,2.38,317,11813,0,0,0,0,2.21,0.00,0.00,9823697,7857881,1965816,1876883,88933,421196,353746
2009,14759039,10814422,3944617,0,1978240,1161502,816738,12780800,500,1117640,0,0,-456196,570756,0,0,36645,0,4.62,-34.51,-94.33,-35.10,0.36,931.07,15.48,0,25.65,0.58,0.10,3.22,0.08,2.69,361,11436,0,0,0,0,0.40,0.00,0.00,8745068,6502129,2242939,2230365,12573,406144,403836
