구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2018,10155101568,6413374583,3741726985,0,2022021343,1640707947,381313396,8133080225,5000,137292497,0,0,822057209,-46256069,-549779284,4000,505060508,0,20.10,-4.19,-11.99,-22.81,180.41,390.89,24.86,3.94,58.94,0.44,15.73,11.26,12.47,8.93,6567,61237,15.46,1.66,3.12,13.25,21.63,11.15,9.95,4471515592,1836031137,2635484456,1380377763,1255106693,1318669941,898659340
2017,9981360404,6585704416,3395655988,0,2151600037,1816392343,335207693,7829760368,5000,137292497,0,0,1143112014,-683018724,-438584762,4000,505060508,0,24.94,3.64,-2.96,-5.00,166.29,362.57,27.48,3.46,59.10,0.47,19.08,15.58,14.41,11.76,8476,59000,13.63,1.96,3.40,11.97,33.28,11.16,10.03,4667193482,1908887335,2758306147,1332191743,1426114404,1345622441,1164208237
2016,9812086900,6615491977,3196594923,0,2694328607,2153379344,540949263,7117758292,5000,137292497,0,0,1497761383,-702563704,-488427061,3600,454554457,0,27.21,8.00,7.59,18.73,218.56,307.21,37.85,3.56,60.10,0.49,21.95,18.30,15.90,13.26,8965,53706,11.27,1.88,3.08,9.98,30.78,9.48,8.56,4503279695,1796725139,2706554556,1236951612,1469602944,1587332313,1225531448
2015,8673357220,5570863699,3102493521,0,2397857916,1871693614,526164302,6275499304,5000,137292497,0,0,1259235635,-747575260,-380962390,3400,428284033,0,24.75,1.39,16.56,26.84,144.05,297.64,38.21,3.25,60.90,0.52,22.80,17.23,16.98,12.83,7544,47679,13.85,2.19,3.44,11.98,25.29,10.55,9.43,4169839390,1630600832,2539238558,1173333598,1365904960,1414394101,1032219965
2014,7418662239,4408601761,3010060478,0,1710581345,1124555496,586025850,5708080894,5000,137292497,0,0,765188729,-342881036,-353760890,3400,428055920,0,19.79,7.62,15.64,45.50,107.03,392.03,29.97,4.47,55.24,0.57,21.17,14.70,16.17,11.23,6013,43481,12.65,1.75,2.54,10.58,21.19,8.98,7.89,4112855193,1840818826,2272036367,1100173868,1171862498,1157911163,813800834
2013,7074958370,4188599855,2886358514,0,1709477421,1182243729,527233693,5365480949,5000,137292497,0,0,583380261,-217753292,-389939170,3200,402876311,0,14.63,-4.09,-2.18,-22.87,85.93,354.29,31.86,4.30,55.81,0.55,19.19,10.59,14.61,8.06,4157,40891,17.92,1.82,2.68,13.67,17.31,10.18,8.67,3821695793,1688643714,2133052079,1119702592,1013349486,881919978,559303986
2012,6795961304,3957803642,2838157662,0,1601542700,1097720720,503821979,5194418605,5000,137292497,0,0,722838064,-898025865,-258152145,3200,402876000,0,18.20,7.03,-4.99,-11.24,101.40,360.55,30.83,3.96,56.31,0.61,20.56,14.39,15.85,11.09,5376,39550,15.03,2.04,2.78,12.10,20.06,10.81,9.22,3984662140,1740809253,2243852887,1207922193,1035930694,1022408597,725117665
2011,6276415841,3515437497,2760978343,0,1391338460,999207915,392130545,4885077381,5000,137292497,0,0,756854136,-428616418,-500538365,3200,402396000,0,21.94,7.56,0.85,-20.75,257.58,351.82,28.48,3.93,56.82,0.62,22.99,17.23,18.09,13.56,5944,37378,13.69,2.18,3.00,11.48,22.50,10.34,9.03,3722965820,1607590558,2115375262,1025034033,1090341229,1161063809,816928603
2010,5777059067,3361977303,2415081765,0,1178749695,925348027,253401669,4598309372,5000,137292497,0,0,845111228,154352001,-332663964,3000,382964000,0,29.78,-4.55,-10.34,21.26,332.14,363.32,25.63,4.64,58.20,0.63,25.12,23.95,19.75,18.83,7516,34765,8.61,1.86,2.57,7.52,25.59,8.25,7.26,3461418375,1446708393,2014709982,933545870,1081164112,1405674867,1030788607
2009,5171883201,2700448773,2471434428,0,1163880009,923563185,240316824,4008003192,5000,137292497,0,0,831112908,-148395562,-478217068,2800,356156640,0,23.44,9.48,3.14,-5.03,250.45,292.39,29.04,4.35,57.17,0.72,32.11,22.63,23.91,16.86,6139,30649,10.49,2.10,2.46,8.89,29.47,7.35,6.52,3626353016,1553264056,2073088961,867224793,1205864168,1161878069,850094328
