구분,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주
2018,1150,6934307,0,16.00,18.61,1.77,5.04,218.73,619.39,13.59,2.20,69.82,0.96,20.38,17.70,17.74,15.41,6870,43414,7.61,1.20,1.22,7.29,52.99,6.61,6.37,266865874,80539346,186326527,137144708,49181819,55044225,42704858,37994337,-36756237,-4185495,296804918,193918607,102886312,0,35506241,31308088,4198153,261298678,500,6216363,0,0
2017,500,3030368,0,18.07,25.51,11.00,5.46,327.88,499.63,16.34,1.10,70.51,0.95,23.29,19.59,20.44,17.20,6540,36805,6.94,1.23,1.25,6.75,94.96,5.84,5.71,224993661,66345945,158647716,110320203,48327513,45007093,40656388,35923504,-25927364,-3471976,257553469,170051643,87501827,0,36180007,34035665,2144342,221373462,500,6216363,0,0
2016,500,3095475,0,21.51,21.03,-1.52,3.38,85365.74,713.89,11.20,0.88,68.41,0.91,24.72,21.89,22.13,19.60,6202,31406,9.17,1.81,1.97,8.98,190.85,8.12,7.97,179260110,56628395,122631715,79095187,43536528,45855877,38551772,28156669,-4576872,-3714570,215291432,149127000,66164433,0,21691035,20889487,801548,193600397,500,6216363,0,0
2015,600,3714570,0,25.18,4.28,-8.16,-8.19,2366.44,838.45,12.32,0.96,68.27,0.92,30.75,25.94,27.44,23.14,5999,25779,10.44,2.43,2.63,10.31,196.19,8.80,8.71,148110832,46990886,101119946,56910090,44209855,47556995,37290945,42762009,-41595978,-6505165,178162645,157900540,20262105,0,19539062,18832490,706572,158623583,500,6216363,0,0
2014,660,4102800,0,28.60,113.64,207.96,249.34,1028.71,914.44,11.81,0.88,66.27,1.49,57.50,48.52,50.47,42.59,8734,20736,8.62,3.63,2.47,8.55,226.41,9.72,9.66,142028015,47908140,94119875,45982447,48137428,50614114,40618408,30446619,-54799012,48203423,144122152,128365270,15756882,0,15221968,14037516,1184452,128900184,500,6216363,0,0
2013,0,1905200,0,17.49,31.81,44.80,110.53,286.73,521.75,20.94,0,53.05,1.68,48.78,36.28,39.54,29.41,2685,8902,0,0,0,0,114.74,0.00,0.00,66480528,31210293,35270235,19639235,15631000,16297650,11627290,13645213,-9128634,-728956,46616087,36288922,10327165,0,8069827,6955256,1114570,38546261,500,4330000,0,0
2012,0,1732000,0,10.95,0,0,0,2196.75,371.80,27.03,0,48.05,0,0,0,0,0,1676,5900,0,0,0,0,0,0.00,0.00,50437219,26201123,24236096,13441251,10794844,9586709,5522805,8853464,-6254881,-633571,32452318,25635492,6816827,0,6904970,6894970,10000,25547348,500,4330000,0,0
2011,0,3500000,0,26.95,0,0,0,488.42,268.74,38.60,0,47.52,0,0,0,0,0,923245,1448918,0,0,0,0,0,0.00,0.00,34254460,17977287,16277172,3818957,12458215,12124836,9232448,11319346,-7190355,-2350000,20082464,14017082,6065382,0,5593282,5215793,377489,14489182,5000,10000,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
