구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7825147,1120536,6704610,0,6645621,6624537,21084,1179525,500,12472000,0,0,5063686,7515738,-2452052,4458874,-6910925,-25389875,-25389875,-2495699,5501389,-3024135,0,0,0,-501.41,-48.82,적전,적전,0,16.91,563.41,0,-48.42,0.26,-49.81,-183.00,-35.79,-131.50,-2036,263,0,3.22,2.08,0,-244.20,0,0
2011,30791341,27390302,3401039,0,4221940,4096721,125220,26569401,500,12472000,0,0,9893132,8414970,1478162,1026699,451463,1051754,1051754,3758583,-5445137,1594135,0,0,0,10.63,159.44,흑전,흑전,32.30,668.59,15.89,0,14.94,0.34,1.73,4.04,1.54,3.60,84,2298,27.45,1.01,2.92,22.99,7.92,63.95,44.04
2010,27719514,26939332,780182,0,2201868,2102536,99332,25517647,500,12472000,0,0,3813213,5450627,-1637415,2807180,-4444595,-4060011,-4060011,-4897430,2725467,1430000,0,0,0,-106.47,0,0,0,0,1281.28,8.63,0,-42.94,0,0,0,0,0,-326,2214,0,1.22,8.86,0,0,0,0
2009,30354928,29384222,970706,0,982537,785333,197204,29372391,500,12472000,0,0,8091146,8475681,-384535,3515777,-3900312,15670197,15670197,-4812446,12897062,-8870000,0,0,0,193.67,-25.94,적지,흑전,0,3741.63,3.35,0,-4.75,0.27,-18.11,72.76,-13.17,52.91,1256,2523,1.43,0.71,2.77,1.39,-32.93,0,0
