구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,276610968,134271986,142338983,0,178042199,141583490,36458709,98568769,500,17000000,0,0,49691765,-17055367,-3280386,219973723,177214908,42758815,27073338,15685477,16726320,15296418,180,3060000,21.12,7.13,6.95,-10.62,-18.59,136.79,4.48,94.84,180.63,2.07,19.44,0.84,17.00,16.58,5.96,5.81,852,5526,10.21,1.57,0.67,6.56,15.17,9.72,6.43
2010,372036036,171510960,200525076,0,218700757,148204647,70496110,153335279,500,22434980,0,0,46418019,-15015686,7727335,221455065,184848437,36606628,20648082,15958546,16175002,13878674,65,1458274,21.81,7.21,6.27,0,0,0,4.02,115.73,142.63,1.87,16.53,0,0,0,0,0,360,4767,9.67,0.73,0.29,3.82,0,8.70,5.30
2011,416823410,191345231,225478179,0,250982135,167175668,83806467,165841275,500,22434980,0,0,34412628,-31189250,4809491,320436617,264590404,55846213,32527762,23318451,24382570,19271205,50,1122000,11.43,7.28,6.01,44.70,46.12,38.85,6.01,114.46,151.34,2.27,17.43,0.81,14.61,12.08,5.91,4.89,438,5136,5.03,0.43,0.15,2.09,12.23,4.71,2.95
2012,485305389,261351434,223953955,0,293082382,211248653,81833729,192223007,500,22434980,0,0,13344058,-19474928,-10431892,502629849,414647162,87982687,41491292,46491395,50009257,38313935,70,1570449,6.62,9.25,7.62,56.86,99.38,98.81,10.55,123.72,152.47,2.40,17.50,1.11,25.97,21.40,10.31,8.49,1057,6046,2.76,0.48,0.13,1.53,21.01,3.13,2.23
2013,429933873,217982111,211951762,0,217906899,157622932,60283967,212026973,500,22434980,0,0,15410505,12918045,-30620193,487271569,424130391,63141178,42274475,20866704,21435884,14473779,100,2212498,23.87,4.28,2.97,-3.06,-55.12,-62.22,5.99,138.29,102.77,1.62,12.96,1.06,10.32,7.16,4.56,3.16,413,6630,14.98,0.93,0.29,4.51,7.58,10.04,4.95
2014,437508862,207807472,229701390,0,243410230,159986711,83423519,194098632,500,22434980,0,0,26752714,-33781111,-1015824,384115294,323989346,60125948,42321746,17804202,15913319,25803,50,1106249,45.20,4.64,0.01,-21.17,-14.68,-99.82,7.63,129.89,125.41,0.47,15.65,0.89,8.77,0.01,4.10,0.01,109,6542,96.70,1.61,0.62,16.14,0.02,17.64,10.46
2015,450314764,178230019,272084745,0,254493177,148669917,105823259,195821588,500,22434980,0,0,38985172,-39295756,-4005993,377659977,314756169,62903808,46782278,16121530,12599507,13413053,80,1769998,13.01,4.27,3.55,-1.68,-9.45,51881.89,5.32,119.88,129.96,0.87,16.66,0.85,8.27,6.88,3.63,3.02,606,6922,15.10,1.32,0.54,7.55,8.99,17.64,9.57
2016,462751008,168246790,294504218,0,254431616,152108904,102322712,208319392,500,22434980,0,0,35016860,-40990440,897839,391371452,320000478,71370974,45498995,25871979,17191240,6737747,100,2212498,47.38,6.61,1.72,3.63,60.48,-49.77,6.93,110.61,122.14,1.33,18.24,0.86,12.80,3.33,5.67,1.48,208,7108,36.23,1.06,0.43,8.22,4.97,10.45,6.47
2017,519933655,226898804,293034850,0,271769033,179270959,92498073,248164622,500,22434980,0,0,14591702,27362866,-17072256,352407287,285028183,67379104,47629599,19749505,17613873,9361783,110,2433748,47.42,5.60,2.66,-9.96,-23.66,38.95,5.77,126.57,109.51,2.12,19.12,0.72,8.65,4.10,4.02,1.91,229,7290,22.73,0.71,0.33,5.96,5.04,10.82,6.25
2018,670840467,341833126,329007341,0,384112880,275668146,108444734,286727587,500,22434980,0,0,1356045,-11373769,21640784,534720764,429465097,105255667,91979682,13275985,22427635,18769762,80,1769998,13.82,2.48,3.51,51.73,-32.78,100.49,3.67,124.00,133.96,2.15,19.68,0.90,4.96,7.02,2.23,3.15,571,7857,6.52,0.47,0.16,2.74,4.61,17.34,7.43
