구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,33568173,21940528,11627645,0,19053894,17265628,1788266,14514279,500,5844645,0,0,20501563,16027130,4474433,3191116,1283318,51717,63541,-5183111,715447,4790605,0,0,0,0.31,13.94,흑전,흑전,1.35,127.08,131.28,0,21.82,0.65,11.52,0.57,4.08,0.20,13,2483,330.21,1.73,1.02,24.56,6.77,21.64,13.39
2017,29358144,17296540,12061604,0,21590891,17158887,4432005,7767252,500,4246562,0,0,17992680,14976041,3016639,3957226,-940587,-5199154,-5199154,547579,411106,-1267804,0,0,0,-28.90,-15.30,적지,적지,0,100.80,277.97,0,16.77,0.55,-9.19,-50.78,-2.86,-15.79,-1224,1829,0,1.97,0.85,0,-3.97,0,66.20
2016,36505915,20711404,15794511,0,23796338,21152914,2643423,12709577,500,4246562,0,0,21243062,16738634,4504428,6098314,-1593886,-2639547,-2621947,73261,-2249582,2584081,0,0,0,-12.34,3.23,적전,적전,0,97.91,187.23,0,21.20,0.56,-11.35,-18.68,-4.21,-6.93,-669,2993,0,3.59,1.98,0,-5.66,0,0
2015,39168299,20085779,19082520,0,23799650,17843196,5956454,15368649,500,3813229,0,0,20578667,15931636,4647031,3376222,1270809,552540,552540,-3891,-2017277,1080127,0,0,0,2.69,10.59,41.82,284.83,1.49,112.57,154.86,0,22.58,0.55,8.56,3.72,3.42,1.48,145,4030,0,0,0,0,4.55,13.89,7.19
2014,35254325,17064241,18190084,0,20917656,15506902,5410755,14336669,500,3796629,0,0,18608506,14525134,4083372,3187319,896053,143581,143581,-1241938,-1801517,3467639,0,0,0,0.77,3.07,흑전,흑전,1.03,110.04,145.90,0,21.94,0.55,6.78,1.09,2.65,0.42,42,3931,0,0,0,0,3.52,17.72,8.20
2013,32428180,15184425,17243755,0,20341106,17104868,3236238,12087074,500,3351518,0,0,18054767,14835236,3219531,3802475,-582944,-1406284,-1419358,639874,-3276516,2655682,0,0,0,-7.86,0.26,적전,적전,0,88.77,168.29,0,17.83,0.56,-4.45,-10.84,-1.81,-4.42,-412,3782,0,0,0,0,-2.48,0,18.00
2012,31815179,16448086,15367093,0,17720548,13667127,4053420,14094631,500,3756627,0,0,18007082,12560621,5446460,3353576,2092884,1200930,1120152,1222890,-3406310,2509400,0,0,0,6.22,6.78,45.94,52.58,3.17,120.35,125.73,0,30.25,0.61,16.32,8.73,7.10,3.80,384,4566,0,0,0,0,9.00,5.52,4.04
2011,27108587,14513350,12595237,0,15549814,11552507,3997307,11558772,500,2856627,0,0,16862982,12510623,4352359,2918306,1434053,750406,734158,-893417,-1450737,1730654,0,0,0,4.35,2.22,1.94,0.90,2.70,125.63,134.53,0,25.81,0.66,13.03,6.67,5.64,2.89,257,4046,0,0,0,0,7.72,7.45,5.20
2010,23725062,12504309,11220753,0,13267686,8064648,5203038,10457375,500,2856627,0,0,16497005,12204736,4292269,2885557,1406712,749720,727617,-318534,35454,124934,0,0,0,4.41,-8.20,-43.62,-53.39,2.83,155.05,126.87,0,26.02,0.72,13.94,7.21,6.11,3.16,255,3661,0,0,0,0,8.89,5.83,4.10
2009,22328392,11631527,10696865,0,12598634,6560100,6038534,9729758,500,2856627,0,0,17970511,12897138,5073373,2578117,2495256,1603062,1560961,1697219,-3759805,2294652,0,0,0,8.69,22.43,53.40,27.73,4.25,177.31,129.49,0,28.23,0.88,31.39,19.63,12.20,7.63,584,3406,0,0,0,0,17.29,2.63,2.14
